dpp_module;subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;tool;cardinality;mapping_justification
ceon;http://w3id.org/CEON/ontology/processODP/hasPart;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/hasPart;hasPart;hasPart;1;LogMap;=;
ceon;http://w3id.org/CEON/ontology/actorODP/Actor;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-prov/Actor;Actor;Actor;0.703;LogMap;=;
ceon;http://w3id.org/CEON/ontology/material/Material;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Material;Material;Material;0.5;LogMap;=;
ceon;http://w3id.org/CEON/ontology/product/Product;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.5;LogMap;=;
