dpp_module;subject_id;subject_source;object_source;predicate_id;object_id;subject_label;object_label;confidence;tool;cardinality;mapping_justification
ceon;http://w3id.org/CEON/ontology/material/Material;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-core/Material;Material;Material;0.9896;AML;=;
ceon;http://w3id.org/CEON/ontology/actorODP/Actor;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-prov/Actor;Actor;Actor;0.9816;AML;=;
ceon;http://w3id.org/CEON/ontology/product/Product;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-odp/Product;Product;Product;0.9801;AML;=;
ceon;http://w3id.org/CEON/ontology/resourceODP/ResourceQuality;http://w3id.org/CEON/ontology/;http://w3id.org/dppo/ontology/;;http://w3id.org/dppo/ontology/dpp-info/ProductQuality;ResourceQuality;ProductQuality;0.7351;AML;=;
